,channelName,date,dislikes,title,likes,Subscribers,url,Views,Keywords,id
525,Google Cloud Tech,2019-12-20,14,programming language techlead,354,727000,https://www.youtube.com/watch?v=ieaqfU1BwJ8,15264,programming language techlead,526
526,Rasa,2020-03-30,9,tell coding interview,800,15800,https://www.youtube.com/watch?v=KN3ZL65Dze0,19792,tell coding interview,527
527,Great Learning,,5,coding interview leetcode,161,405000,https://www.youtube.com/watch?v=xVpp1NBU-K8,6436,coding interview leetcode,528
528,AI with Ashok,2021-03-05,0,interview leetcode work,6,40,https://www.youtube.com/watch?v=f6oNHL-vKng,91,interview leetcode work,529
529,What's AI,2020-03-06,0,certification highest paying,18,16800,https://www.youtube.com/watch?v=_O41tuCTXWg,975,certification highest paying,530
530,KGP Talkie,2020-04-09,6,highest paying certification,338,33300,https://www.youtube.com/watch?v=VyDmQggfsZ0,12167,highest paying certification,531
531,SocialMiningAi,2020-08-14,0,paying certification best,3,12,https://www.youtube.com/watch?v=ZxwoVX5tblk,133,paying certification best,532
532,KGP Talkie,2020-02-15,17,certification best certification,552,33300,https://www.youtube.com/watch?v=9PoKellNrBc,26236,certification best certification,533
533,Great Learning,,5,best certification simplilearn,222,405000,https://www.youtube.com/watch?v=YB7XXDXIusg,7870,best certification simplilearn,534
534,Hackers Realm,2021-01-20,1,dying programming language,119,4100,https://www.youtube.com/watch?v=RLfUyn3HoaE,4960,dying programming language,535
535,MIT OpenCourseWare,2020-10-22,2,programming language clever,106,3070000,https://www.youtube.com/watch?v=IiD3YZkkCmE,8065,programming language clever,536
536,Lymba,2020-06-03,3,language clever programmer,118,139,https://www.youtube.com/watch?v=-aKYu6ebDLg,6137,language clever programmer,537
